contractSymbol,strike,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark,sector,industry,grossMargins,targetLowPrice,recommendationKey,targetMedianPrice,currentPrice,targetMeanPrice,targetHighPrice,pegRatio,forwardPE,fiftyDayAverage,recommendationMean,recordTime
AAPL220414C00100000,100.0,67.4,67.55,0.62999725,0.8952639,10.0,514,1.0000000000000003e-05,True,2022-04-14,True,67.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00105000,105.0,62.35,62.55,-2.5800018,-3.9431481,1.0,88,1.0000000000000003e-05,True,2022-04-14,True,62.45,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00110000,110.0,57.4,57.6,-2.8999977,-4.769733,1.0,627,1.0000000000000003e-05,True,2022-04-14,True,57.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00115000,115.0,52.35,52.6,-1.1500015,-2.1435256,2.0,722,1.0000000000000003e-05,True,2022-04-14,True,52.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00120000,120.0,47.35,47.6,-2.8400002,-5.599369,16.0,1108,1.0000000000000003e-05,True,2022-04-14,True,47.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00125000,125.0,42.4,42.55,-2.7299995,-5.954198,76.0,748,1.0000000000000003e-05,True,2022-04-14,True,42.474999999999994,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00130000,130.0,37.35,37.6,-2.619999,-6.4500217,5.0,519,1.0000000000000003e-05,True,2022-04-14,True,37.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00135000,135.0,32.35,32.6,-2.1899986,-6.1811986,142.0,1176,1.0000000000000003e-05,True,2022-04-14,True,32.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00140000,140.0,27.4,27.55,-2.9499989,-9.68165,273.0,3905,1.0000000000000003e-05,True,2022-04-14,True,27.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00145000,145.0,22.45,22.6,-2.8000011,-10.894946,64.0,3016,1.0000000000000003e-05,True,2022-04-14,True,22.525,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00149000,149.0,18.4,18.55,0.0,0.0,19.0,75,1.0000000000000003e-05,True,2022-04-14,True,18.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00150000,150.0,17.35,17.55,-3.3499985,-16.105762,108.0,12531,1.0000000000000003e-05,True,2022-04-14,True,17.450000000000003,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00152500,152.5,14.9,15.05,-2.499999,-14.108348,5.0,95,1.0000000000000003e-05,True,2022-04-14,True,14.975000000000001,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00155000,155.0,12.4,12.6,-3.21,-20.175991,685.0,14268,1.0000000000000003e-05,True,2022-04-14,True,12.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00157500,157.5,9.9,10.1,-3.08,-22.985075,35.0,659,1.0000000000000003e-05,True,2022-04-14,True,10.0,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00160000,160.0,7.4,7.5,-2.8599997,-27.606174,1683.0,72170,1.0000000000000003e-05,True,2022-04-14,True,7.45,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00162500,162.5,4.95,5.15,-3.0500002,-38.125004,187.0,1559,1.0000000000000003e-05,True,2022-04-14,True,5.050000000000001,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00165000,165.0,2.56,2.65,-2.9500003,-53.153156,3298.0,29635,1.0000000000000003e-05,True,2022-04-14,True,2.605,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00167500,167.5,0.61,0.62,-2.62,-80.61539,21450.0,14176,0.1450280810546875,True,2022-04-14,True,0.615,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00170000,170.0,0.07,0.08,-1.14,-93.44262,95149.0,48265,0.1992267578125,False,2022-04-14,True,0.07500000000000001,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00172500,172.5,0.01,0.02,-0.24,-92.30769,61163.0,34703,0.2695385546875,False,2022-04-14,True,0.015,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00175000,175.0,0.0,0.01,-0.03,-75.0,18328.0,64936,0.3437565625,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00177500,177.5,0.0,0.01,-0.01,-50.0,1965.0,26288,0.445318046875,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00180000,180.0,0.0,0.01,0.0,0.0,648.0,58421,0.500005,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00182500,182.5,0.0,0.01,0.0,0.0,55.0,17572,0.5937540625000001,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00185000,185.0,0.0,0.01,0.0,0.0,160.0,41433,0.6718782812500002,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00187500,187.5,0.0,0.01,0.0,0.0,11.0,3980,0.7500025,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00190000,190.0,0.0,0.01,0.0,0.0,96.0,21826,0.8437515624999999,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00192500,192.5,0.0,0.01,0.0,0.0,1.0,3186,0.9062509375,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00195000,195.0,0.0,0.01,0.0,0.0,4.0,13536,0.98437515625,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00197500,197.5,0.0,0.01,0.0,0.0,2.0,342,1.0625046875000002,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00200000,200.0,0.0,0.01,0.0,0.0,102.0,21618,1.125004375,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00205000,205.0,0.0,0.01,0.0,0.0,1.0,8843,1.2812535937499998,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00210000,210.0,0.0,0.01,0.0,0.0,2.0,5071,1.4375028125,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00215000,215.0,0.0,0.01,0.0,0.0,222.0,2351,1.5625021874999998,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00220000,220.0,0.0,0.01,0.0,0.0,2.0,3746,1.6875015625,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00225000,225.0,0.0,0.01,0.0,0.0,1.0,3949,1.8125009374999999,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00230000,230.0,0.0,0.01,0.0,0.0,7.0,3487,1.9375003125,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00235000,235.0,0.0,0.01,0.0,0.0,322.0,2374,2.0625048437499998,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00240000,240.0,0.0,0.01,0.0,0.0,10.0,3211,2.1875045312499997,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00245000,245.0,0.0,0.01,0.0,0.0,5.0,1509,2.2500043749999996,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00250000,250.0,0.0,0.01,0.0,0.0,7.0,6640,2.3750040624999995,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00260000,260.0,0.0,0.01,0.0,0.0,1.0,1476,2.6250034375,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00270000,270.0,0.0,0.01,0.0,0.0,5.0,1401,2.81250296875,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00280000,280.0,0.0,0.01,0.0,0.0,10.0,334,3.0000025,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00290000,290.0,0.0,0.01,0.0,0.0,5.0,298,3.1875020312499998,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00300000,300.0,0.0,0.01,0.0,0.0,41.0,8674,3.3750015624999996,False,2022-04-14,True,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00050000,50.0,0.0,0.01,0.0,0.0,2.0,1576,7.00000125,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00055000,55.0,0.0,0.01,0.0,0.0,1.0,1223,6.500001875000001,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00060000,60.0,0.0,0.01,0.0,0.0,1.0,1332,6.0000025,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00065000,65.0,0.0,0.01,0.0,0.0,36.0,2058,5.62500296875,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00070000,70.0,0.0,0.01,0.0,0.0,2.0,5977,5.250003437499999,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00075000,75.0,0.0,0.01,0.0,0.0,1.0,1844,4.7500040624999995,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00080000,80.0,0.0,0.01,0.0,0.0,1.0,10556,4.375004531249999,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00085000,85.0,0.0,0.01,0.0,0.0,1.0,2803,4.12500484375,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00090000,90.0,0.0,0.01,0.0,0.0,1.0,4111,3.750000625,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00095000,95.0,0.0,0.01,0.0,0.0,1.0,2664,3.43750140625,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00100000,100.0,0.0,0.01,0.0,0.0,1.0,4180,3.1250021875,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00105000,105.0,0.0,0.01,0.0,0.0,2.0,3380,2.8750028125,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00110000,110.0,0.0,0.01,0.0,0.0,1.0,5668,2.6250034375,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00115000,115.0,0.0,0.01,0.0,0.0,1.0,4783,2.3750040624999995,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00120000,120.0,0.0,0.01,0.0,0.0,26.0,10144,2.1250046874999997,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00125000,125.0,0.0,0.01,0.0,0.0,11.0,15140,1.875000625,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00130000,130.0,0.0,0.01,0.0,0.0,11.0,10570,1.625001875,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00135000,135.0,0.0,0.01,0.0,0.0,4.0,19819,1.40625296875,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00140000,140.0,0.0,0.01,0.0,0.0,25.0,32772,1.1875040625,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00145000,145.0,0.0,0.01,0.0,0.0,18.0,24914,0.9687503125,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00149000,149.0,0.0,0.01,0.0,0.0,10.0,4403,0.8125018749999999,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00150000,150.0,0.0,0.01,0.0,0.0,45.0,101500,0.7500025,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00152500,152.5,0.0,0.01,0.0,0.0,53.0,5559,0.6562534375000001,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00155000,155.0,0.0,0.01,0.0,0.0,201.0,24881,0.5625043750000001,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00157500,157.5,0.0,0.01,-0.01,-50.0,3027.0,7576,0.49219257812500006,False,2022-04-14,False,0.005,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00160000,160.0,0.01,0.02,0.0,0.0,1529.0,82856,0.41797457031249996,False,2022-04-14,False,0.015,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00162500,162.5,0.02,0.03,-0.030000001,-60.000004,3041.0,14301,0.31641308593749995,False,2022-04-14,False,0.025,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00165000,165.0,0.07,0.08,-0.020000003,-20.000004,21588.0,39743,0.22852333984375,False,2022-04-14,False,0.07500000000000001,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00167500,167.5,0.58,0.6,0.35000002,140.00002,41681.0,18501,0.20020331054687499,False,2022-04-14,False,0.59,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00170000,170.0,2.51,2.55,1.66,190.8046,34192.0,58561,0.29004616210937495,True,2022-04-14,False,2.53,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00172500,172.5,4.95,5.1,2.6100001,108.75,3699.0,12878,0.495122236328125,True,2022-04-14,False,5.025,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00175000,175.0,7.4,7.5,2.8000002,59.574474,1924.0,29260,0.5566450585937501,True,2022-04-14,False,7.45,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00177500,177.5,9.95,10.15,2.98,42.389755,367.0,4794,0.7773459765625,True,2022-04-14,False,10.05,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00180000,180.0,12.35,12.55,2.9700003,30.969763,351.0,7536,0.8261736132812498,True,2022-04-14,False,12.45,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00182500,182.5,14.95,15.15,2.75,22.44898,29.0,882,1.05078599609375,True,2022-04-14,False,15.05,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00185000,185.0,17.45,17.6,2.62,18.542109,38.0,1323,1.15625421875,True,2022-04-14,False,17.525,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00187500,187.5,19.95,20.05,-0.55999947,-3.2748506,1.0,23,1.2500037499999999,True,2022-04-14,False,20.0,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00190000,190.0,22.45,22.6,-0.22999954,-1.1794848,1.0,230,1.3984405078125,True,2022-04-14,False,22.525,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00195000,195.0,27.4,27.55,0.15000153,0.6110042,6.0,160,1.5566428417968747,True,2022-04-14,False,27.475,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00197500,197.5,29.85,30.1,0.0,0.0,2.0,0,1.6640641796875002,True,2022-04-14,False,29.975,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00200000,200.0,32.4,32.65,0.0,0.0,21.0,33,1.8398445507812498,True,2022-04-14,False,32.525,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00205000,205.0,37.4,37.65,0.0,0.0,8.0,23,2.0468798828125,True,2022-04-14,False,37.525,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00210000,210.0,42.4,42.6,0.0,0.0,18.0,11,2.2031294921874993,True,2022-04-14,False,42.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00215000,215.0,47.35,47.65,0.0,0.0,42.0,11,2.3906290234374996,True,2022-04-14,False,47.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00220000,220.0,52.35,52.65,0.0,0.0,2.0,20,2.57031607421875,True,2022-04-14,False,52.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414P00225000,225.0,57.45,57.65,0.0,0.0,2.0,0,2.8398466503906246,True,2022-04-14,False,57.55,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
